"category","company","year","fraud","ac_recv","ac_recv_to_Sales","ta","tl","az_score","debt_equity","fixedAsset_ta","gross_margin","roe","inv_to_sales","sales","ppe_ta","sales_ta","int_earned","total_accruals_ta","td_ta"
"constructioncontractinghousing","MI33",15,"no",4,0.182648401826484,28.6,8.49,3.44628250018533,-0.563720452209661,0.0230769230769231,0.554794520547945,0.0549845837615622,0.916438356164384,21.9,0.0230769230769231,0.765734265734266,22.1,0.176573426573427,-0.383566433566434
"constructioncontractinghousing","MI33",14,"no",1.01,0.120095124851367,24.81,8.39,2.49663103520006,-0.440666666666667,0.0322450624748086,-0.665873959571938,0.032,2.43400713436385,8.41,0.0322450624748086,0.338976219266425,12.5,0.060459492140266,-0.266424828698106
"constructioncontractinghousing","MI33",13,"no",0.81,0.106860158311346,19.07,3.97,3.41836845824544,-0.720619282195637,0.0461457787100157,0.601583113456464,0.0197044334975369,1.29287598944591,7.58,0.0461457787100157,0.397482957524908,6.77777777777778,0.348715259570005,-0.53696906135291
"constructioncontractinghousing","MI33",12,"no",0.37,0.0778947368421053,14.3,1.72,5.28935558627419,-0.852360515021459,0.065034965034965,-0.75578947368421,0.00686695278969957,0.947368421052632,4.75,0.065034965034965,0.332167832167832,2.30769230769231,0.211888111888112,-0.694405594405594
"constructioncontractinghousing","MI33",11,"no",0.18,0.0462724935732648,15.03,2.41,3.7987354502613,-0.791702679343129,0.0678642714570858,0.735218508997429,0.0146931719965428,0.131105398457584,3.89,0.0678642714570858,0.258815701929474,6.5,0.00931470392548237,-0.609447771124418
"computerssoftwaremediumsmall","MI34",15,"no",4.46,0.199463327370304,30.27,14.32,0.744069493737,0.840616966580977,0.299636603898249,1,-0.212082262210797,0,22.36,0.299636603898249,0.738685166831847,1.09489051094891,-0.0290716881400727,0.21605550049554
"computerssoftwaremediumsmall","MI34",14,"no",3.14,0.172243554580362,30.07,11.21,0.693903584766677,0.153292181069959,0.303957432657133,1,-0.247942386831276,0,18.23,0.303957432657133,0.606252078483538,-1.45652173913043,-0.000997672098436989,0.0495510475557034
"computerssoftwaremediumsmall","MI34",13,"no",12.23,0.600687622789784,40.89,18.68,0.744486428570306,0.52989352989353,0.244314013206163,1,-0.118755118755119,0,20.36,0.244314013206163,0.497921252139887,-0.987654320987654,-0.0313034971875764,0.158229395940328
"computerssoftwaremediumsmall","MI34",12,"no",18.55,0.350860601475317,43.93,19.42,1.82434120638981,0.421669106881405,0.24698383792397,1,0.10688140556369,0,52.87,0.24698383792397,1.2035055770544,5.78260869565217,0.0154791714090599,0.131117687229684
"computerssoftwaremediumsmall","MI34",11,"no",4.54,0.182696177062374,31.39,7.48,1.83870864729222,-0.387888707037643,0.371774450461931,1,0.119476268412439,0,24.85,0.371774450461931,0.791653392800255,3.51923076923077,0.0105129021981523,-0.151003504300733
"computerssoftware","MI35",15,"no",18.64,0.232505924909567,191.01,20.03,7.00170921955896,-0.879656332612353,0.0197371865347364,1,0.0689738043739486,0,80.17,0.0197371865347364,0.419716245222763,604,0.0335060991571122,-0.766504371498874
"computerssoftware","MI35",14,"no",10.55,0.13910864978903,171.91,13.01,9.21558655770177,-0.915541417813555,0.023733348845326,1,0.0779667618800312,0,75.84,0.023733348845326,0.441161072654296,158.705882352941,0.0388575417369554,-0.820371124425572
"computerssoftware","MI35",13,"no",10.08,0.173673328738801,157.29,9.36,10.9011418056799,-0.935390349968938,0.0146226714985059,1,0.0122868778905225,0,58.04,0.0146226714985059,0.368999936423167,21.7826086956522,0.0333142602835527,-0.861529658592409
"computerssoftware","MI35",12,"no",9.39,0.167469234884965,154.19,8.35,11.8188041626068,-0.941448706261833,0.0128412996951813,1,0.00518897693008905,0,56.07,0.0128412996951813,0.363642259549906,28.1111111111111,0.0112847785200078,-0.870743887411635
"computerssoftware","MI35",11,"no",12.19,0.224866260837484,156.76,11.4,9.01244618323686,-0.91921768707483,0.014416943097729,1,0.0405328798185941,0,54.21,0.014416943097729,0.345815258994641,47.3076923076923,0.0114825210512886,-0.827507017096198
"textilesprocessing","MI36",15,"yes",41.86,0.181306306306306,224.99,108.94,1.75361378535209,1.30414551607445,0.305702475665585,0.272392584892585,0.0300338409475465,0.0966735966735967,230.88,0.305702475665585,1.02617894128628,1.3728813559322,-0.00475576692297436,0.274056624738877
"textilesprocessing","MI36",14,"yes",45.62,0.210007825806749,205.38,97.11,1.82035692977533,1.11154598825832,0.303291459733178,0.255305436633982,0.0471841704718417,0.0809280486120701,217.23,0.303291459733178,1.05769792579609,1.37222222222222,0.0334501898919077,0.248904469763365
"textilesprocessing","MI36",13,"no",36.21,0.188760882030965,208.1,98.46,1.55371259531333,1.24691921497033,0.316338298894762,0.367512902048689,0.0152898219990872,0.0805400615127978,191.83,0.316338298894762,0.921816434406535,1.52691680261011,0.0083133109082172,0.262566074002883
"textilesprocessing","MI36",12,"no",26.1,0.151094129906217,132.2,53.49,2.47826880523146,0.2396292004635,0.269137670196672,0.204584925321292,0.317497103128621,0.0674423989811277,172.74,0.269137670196672,1.30665658093797,3.60769230769231,0.108623298033283,0.0782148260211801
"textilesprocessing","MI36",11,"no",19.39,0.134131156613171,125.56,56.67,1.85336776539146,1.15557246101179,0.328129977699904,0.206765356945213,0.105363255990871,0.0834947426674045,144.56,0.328129977699904,1.15132207709462,2.38028169014085,0.0157693532972284,0.241956036954444
"constructioncontractingcivil","MI37",15,"no",130.43,0.710828928006976,743.36,76.97,7.41863625825609,-0.877978408028028,0.0478906586310805,0.64951768488746,0.0800900458155646,0.0239795084200774,183.49,0.0478906586310805,0.246838678433061,89.3119266055046,0.117587709857942,-0.745022600086095
"constructioncontractingcivil","MI37",14,"no",146.7,0.577513581607747,780.91,143.84,4.64239551680878,-0.755594447181962,0.0621582512709531,0.596055428706401,0.0485106961412332,0.020155893236753,254.02,0.0621582512709531,0.325287164974197,52.0849056603774,0.0046356174207015,-0.569451025086117
"constructioncontractingcivil","MI37",13,"no",134.12,0.367935915724789,837.24,208.47,3.83739476572624,-0.633182010135135,0.0722015192776265,0.633792384505651,0.0766821509009009,0.0283935037858005,364.52,0.0722015192776265,0.435382924848311,29.6245353159851,0.109502651569442,-0.42980507381396
"constructioncontractingcivil","MI37",12,"no",132.66,0.354166110473343,880.05,272.2,3.40080322212171,-0.493024901752622,0.0806090563036191,0.628427263261874,0.123912760052895,0.0849240462396882,374.57,0.0806090563036191,0.425623544116812,151.37037037037,0.062428271120959,-0.300789727856372
